hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H01,"H01|V=10;N=25;T=60|XT60",XT60,1423,KILL,1412,7,-0.05021101105212121,-0.3859057161335257,0.3151558073654391,-0.09760924115049176,-0.003739263122239642,-0.06289270365703879,-0.050213598309757135,0.00424929178470255
H01,"H01|V=10;N=25;T=60|XT60",XT60,1423,PRIMARY,1198,7,-0.10259926932714242,-0.31530698368724125,0.27378964941569284,-0.13757823088200524,-0.07168771571301831,-0.11371187151118738,-0.10019927590466499,0.0008347245409015025
H01,"H01|V=10;N=25;T=60|XT60",XT60,1423,NOINS,1198,7,-0.10419850477722586,-0.31685976679945993,0.27295492487479134,-0.13922201665925005,-0.07323965090147759,-0.11531455637208324,-0.10178437912822816,0.0008347245409015025
H01,"H01|V=10;N=25;T=60|XT60",XT60,1423,L10,1053,7,-0.08416412118498909,-0.1743522866072772,0.2288698955365622,-0.09833147126422002,-0.07148367800951888,-0.09835893916289064,-0.08560106857402955,0.001899335232668566
H01,"H01|V=10;N=25;T=60|XT300",XT300,1423,KILL,1412,7,-0.13051529629791608,-0.47306335505696234,0.17705382436260622,-0.15842519879838468,-0.10022325214075198,-0.1453204790219901,-0.130533538535109,0.017705382436260624
H01,"H01|V=10;N=25;T=60|XT300",XT300,1423,PRIMARY,1198,7,-0.16141109771187842,-0.4436238320559181,0.15943238731218698,-0.20169000269135484,-0.12403031613041529,-0.18020702785020484,-0.15945258787804562,0.011686143572621035
H01,"H01|V=10;N=25;T=60|XT300",XT300,1423,NOINS,1198,7,-0.16245678176556813,-0.44499459336033725,0.15776293823038398,-0.20274718717223345,-0.12507680923178505,-0.1812553369689772,-0.1604610045967014,0.011686143572621035
H01,"H01|V=10;N=25;T=60|XT300",XT300,1423,L10,1053,7,-0.13522616172514287,-0.30111997402955665,0.1396011396011396,-0.16595432826205087,-0.10172609672800867,-0.15603211629368985,-0.14484452965039585,0.007597340930674264
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,1423,KILL,1412,7,-0.17411747393610394,-0.4819625640515397,0.09702549575070822,-0.20016065513519526,-0.14873819751236012,-0.18912888153111218,-0.17414853740105468,0.036827195467422094
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,1423,PRIMARY,1198,7,-0.20306330315124116,-0.4681734366483804,0.08347245409015025,-0.24594548679775727,-0.15085219330809335,-0.22254872300643047,-0.2043476082415463,0.028380634390651086
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,1423,NOINS,1198,7,-0.20394415015019599,-0.46945087466969515,0.08347245409015025,-0.2467796966290439,-0.1517716801601309,-0.22343178119789356,-0.2051827515810664,0.028380634390651086
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,1423,L10,1053,7,-0.16834773720874024,-0.3723998043249311,0.07122507122507123,-0.20665025808303344,-0.12673343235165846,-0.19388479927878205,-0.177740451438485,0.018043684710351376
H01,"H01|V=10;N=25;T=60|XB",XB,1423,KILL,1412,7,-0.041728721818756545,-0.3090890502960052,0.34631728045325777,-0.06533034063426384,-0.023181265319895315,-0.044720543167497594,-0.04172234530109644,0
H01,"H01|V=10;N=25;T=60|XB",XB,1423,PRIMARY,1198,7,-0.08064582331542398,-0.3102003708635598,0.3063439065108514,-0.10872412779271128,-0.049367336620780466,-0.08568745531899491,-0.07836458825249952,0
H01,"H01|V=10;N=25;T=60|XB",XB,1423,NOINS,1198,7,-0.08281264226346632,-0.3112142377918573,0.3055091819699499,-0.11054599262610487,-0.05149427715085048,-0.08784125610201757,-0.08067630039997509,0
H01,"H01|V=10;N=25;T=60|XB",XB,1423,L10,1053,7,-0.0706392174164122,-0.21290519469352265,0.24121557454890788,-0.10528534990279559,-0.043971705241263294,-0.0771684637110313,-0.06831200090920633,0.000949667616334283
H01,"H01|V=10;N=25;T=60|XR",XR,1423,KILL,1412,7,0.014157287473975898,-0.2611354907716034,0.2698300283286119,-0.037794235474924574,0.05306906051076464,-0.00020301663447285493,0.014172964997754611,0.0113314447592068
H01,"H01|V=10;N=25;T=60|XR",XR,1423,PRIMARY,1198,7,-0.10234568826572832,-0.33116787201455833,0.20617696160267113,-0.13886629661898942,-0.06948660967064389,-0.11939366796624783,-0.09745573949537385,0.009181969949916527
H01,"H01|V=10;N=25;T=60|XR",XR,1423,NOINS,1198,7,-0.10376245633269439,-0.3330553834265806,0.20617696160267113,-0.14027457268334179,-0.0708361232100763,-0.12081399268036631,-0.09884392523784251,0.009181969949916527
H01,"H01|V=10;N=25;T=60|XR",XR,1423,L10,1053,7,-0.09830596719158607,-0.247525591909814,0.16049382716049382,-0.12331792615971342,-0.0737564138380506,-0.11910949343272548,-0.09755447280902634,0.00949667616334283
H01,"H01|V=10;N=25;T=60|XG",XG,1423,KILL,1412,7,-0.07784894581649802,-0.3189818715486792,0.0679886685552408,-0.10074267785849329,-0.05504363955727014,-0.09214435401148528,-0.07788061823871416,0.00424929178470255
H01,"H01|V=10;N=25;T=60|XG",XG,1423,PRIMARY,1198,7,-0.15754310708585992,-0.35435160647245845,0.0659432387312187,-0.20085853605254955,-0.11370268395632446,-0.17623848417825555,-0.15640472120758978,0.00667779632721202
H01,"H01|V=10;N=25;T=60|XG",XG,1423,NOINS,1198,7,-0.1584532435135915,-0.355833290756966,0.0659432387312187,-0.20148886320146236,-0.11466375264937696,-0.17715024856430717,-0.15728697790799517,0.00667779632721202
H01,"H01|V=10;N=25;T=60|XG",XG,1423,L10,1053,7,-0.14065514889790146,-0.3035073424296582,0.057929724596391265,-0.17510816170941015,-0.10470963728445337,-0.165528277617512,-0.14670448131786099,0.00949667616334283
H01,"H01|V=10;N=25;T=300|XT60",XT60,1589,KILL,1578,7,-0.04210641199796909,-0.3320081339236854,0.33016476552598223,-0.08087225784874601,-0.00607483670220006,-0.053436057130138326,-0.04210597318563197,0.005069708491761723
H01,"H01|V=10;N=25;T=300|XT60",XT60,1589,PRIMARY,1351,7,-0.0902677766688532,-0.27125289094238747,0.29163582531458176,-0.11724374030593385,-0.06488547172596079,-0.1000916380427103,-0.08746761149523966,0.0007401924500370096
H01,"H01|V=10;N=25;T=300|XT60",XT60,1589,NOINS,1351,7,-0.0920812942153726,-0.272820545542508,0.2908956328645448,-0.11904322947174611,-0.06667157998827583,-0.10190869037573541,-0.08927417320498326,0.0007401924500370096
H01,"H01|V=10;N=25;T=300|XT60",XT60,1589,L10,1195,7,-0.07543767945706877,-0.13711256649952008,0.2518828451882845,-0.08477773351573745,-0.06455618678366012,-0.08791954149701245,-0.07513222962226107,0.0016736401673640166
H01,"H01|V=10;N=25;T=300|XT300",XT300,1589,KILL,1578,7,-0.10791888579750054,-0.46938428933883886,0.19455006337135614,-0.13574631823835503,-0.07812346373960774,-0.12112060848113136,-0.10793994323145013,0.018377693282636248
H01,"H01|V=10;N=25;T=300|XT300",XT300,1589,PRIMARY,1351,7,-0.13343270823871317,-0.4375829812772184,0.18282753515914138,-0.1776241887862293,-0.08930750862621474,-0.1500330059737878,-0.13018268969353175,0.011843079200592153
H01,"H01|V=10;N=25;T=300|XT300",XT300,1589,NOINS,1351,7,-0.13462078924435916,-0.43759498122751794,0.18060695780903036,-0.17878428903694352,-0.0905494024432506,-0.15122373100289757,-0.13133647675129378,0.011843079200592153
H01,"H01|V=10;N=25;T=300|XT300",XT300,1589,L10,1195,7,-0.10598491508731957,-0.28631387736502023,0.16317991631799164,-0.14969717931015009,-0.058192284638967716,-0.12963755031927734,-0.11330672856963622,0.008368200836820083
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,1589,KILL,1578,7,-0.13944087129323238,-0.4795667678224964,0.11280101394169835,-0.17414872884422047,-0.10029545058990123,-0.152845815236212,-0.13947992040904825,0.037389100126742715
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,1589,PRIMARY,1351,7,-0.1607347734029415,-0.4641734729700548,0.10214655810510732,-0.2113536565043026,-0.09362620788747214,-0.17791436623506826,-0.1595899756072407,0.028867505551443375
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,1589,NOINS,1351,7,-0.16168871831381226,-0.4651219218711087,0.10214655810510732,-0.21226362726314454,-0.09460619149001674,-0.1788704340456307,-0.1604975421442639,0.028867505551443375
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,1589,L10,1195,7,-0.13402319429492257,-0.3723998043249311,0.0887029288702929,-0.1890260352997103,-0.07970366525707767,-0.15988085735748628,-0.13968510802361703,0.019246861924686193
H01,"H01|V=10;N=25;T=300|XB",XB,1589,KILL,1578,7,-0.035391311997871364,-0.3088169096064872,0.35361216730038025,-0.062467848841978896,-0.014706252526276123,-0.03805573361749918,-0.03538628873162503,0.0012674271229404308
H01,"H01|V=10;N=25;T=300|XB",XB,1589,PRIMARY,1351,7,-0.06942358441706055,-0.3083559836110711,0.3168023686158401,-0.09643520503324438,-0.04047230611492356,-0.07388479042727786,-0.06681169407484362,0
H01,"H01|V=10;N=25;T=300|XB",XB,1589,NOINS,1351,7,-0.07159795283477577,-0.30952100505802105,0.3160621761658031,-0.09796416465065408,-0.04264005562864588,-0.07604767694416437,-0.0691105228170789,0
H01,"H01|V=10;N=25;T=300|XB",XB,1589,L10,1195,7,-0.0628297374740562,-0.207345012077168,0.2535564853556485,-0.10035370633929054,-0.033351748267274495,-0.06886089623904663,-0.059199733084781415,0.0008368200836820083
