hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H01,"H01|V=10;N=25;T=60|XT60",XT60,3808,KILL,3767,21,-0.09515115986536196,-0.4298634694791304,0.2803291744093443,-0.13835616632781655,-0.048171105303747866,-0.10045103565724306,-0.09515490702278084,0.005574727900185824
H01,"H01|V=10;N=25;T=60|XT60",XT60,3808,PRIMARY,3117,21,-0.13071943799429855,-0.339876120155684,0.2354828360603144,-0.16464632019651804,-0.09381769596330601,-0.13637837916446632,-0.13096818629194856,0.0019249278152069298
H01,"H01|V=10;N=25;T=60|XT60",XT60,3808,NOINS,3117,21,-0.13230701218570373,-0.34194802397781143,0.23484119345524543,-0.16620398320713975,-0.09542889964781025,-0.13796733435531147,-0.13253675272410737,0.0019249278152069298
H01,"H01|V=10;N=25;T=60|XT60",XT60,3808,L10,2848,21,-0.10680752790089934,-0.17545828511227016,0.19662921348314608,-0.12583275666682106,-0.08455620531550047,-0.11431670932053814,-0.11366530548465083,0.001053370786516854
H01,"H01|V=10;N=25;T=60|XT300",XT300,3808,KILL,3767,21,-0.19980989716529435,-0.4746515596238993,0.15343774887178127,-0.23751796933687036,-0.15898792791238256,-0.20542265557047945,-0.19981340450166651,0.01380408813379347
H01,"H01|V=10;N=25;T=60|XT300",XT300,3808,PRIMARY,3117,21,-0.22458065194265664,-0.44372966339643277,0.12993262752646775,-0.2594480961789033,-0.18474278830058982,-0.23208003850227688,-0.22850105703380413,0.008662175168431183
H01,"H01|V=10;N=25;T=60|XT300",XT300,3808,NOINS,3117,21,-0.22565627297884674,-0.4450076100242979,0.1292909849213988,-0.26052513982369796,-0.18578239940504565,-0.23315669574595088,-0.22953439713798154,0.008662175168431183
H01,"H01|V=10;N=25;T=60|XT300",XT300,3808,L10,2848,21,-0.1674551699697187,-0.29819813715236176,0.12008426966292135,-0.19155854444867407,-0.1407826027721568,-0.1769503392207494,-0.18386966719879239,0.0049157303370786515
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,3808,KILL,3767,21,-0.25964138330221465,-0.48449598527436444,0.07353331563578444,-0.3013408946058786,-0.21542305141373957,-0.2653590088619127,-0.25965733910496674,0.02787363950092912
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,3808,PRIMARY,3117,21,-0.2689154671251255,-0.4680510064432346,0.06352261790182868,-0.3029861795522564,-0.2307311086936084,-0.2777254415044823,-0.2765766573804466,0.019890920757138275
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,3808,NOINS,3117,21,-0.2698451168824104,-0.46923114649829745,0.06352261790182868,-0.3038834452372816,-0.23164802173512614,-0.2786559868081738,-0.27745492144963674,0.019890920757138275
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,3808,L10,2848,21,-0.20955446187305685,-0.3720850419445792,0.05442415730337079,-0.2464618358906342,-0.17887707243403703,-0.22104359887135958,-0.23087229296311979,0.013342696629213483
H01,"H01|V=10;N=25;T=60|XB",XB,3808,KILL,3767,21,-0.05851366226943323,-0.3099277349385603,0.32359968144412,-0.07485057872766827,-0.04178888605201878,-0.05966371543050987,-0.05850865285935057,0.0007963897000265463
H01,"H01|V=10;N=25;T=60|XB",XB,3808,PRIMARY,3117,21,-0.11474823214233272,-0.318912306090182,0.2694898941289702,-0.14190397658314508,-0.0875501593592925,-0.11704295067438164,-0.11459091119467203,0.0003208213025344883
H01,"H01|V=10;N=25;T=60|XB",XB,3808,NOINS,3117,21,-0.11746906887823198,-0.3201242982304581,0.2678857876162977,-0.14544859796350032,-0.0894386679183936,-0.11976143528012274,-0.11738941419996339,0.0003208213025344883
H01,"H01|V=10;N=25;T=60|XB",XB,3808,L10,2848,21,-0.10467992214161616,-0.22513790998875155,0.2050561797752809,-0.1266188180951634,-0.07747000896789173,-0.107459588183177,-0.1097369862563671,0.0007022471910112359
H01,"H01|V=10;N=25;T=60|XR",XR,3808,KILL,3767,21,-0.031373608039538654,-0.26447169792547637,0.25457924077515265,-0.06359735785726099,0.00047561167576936904,-0.036828678040253596,-0.03136755993209252,0.00876028670029201
H01,"H01|V=10;N=25;T=60|XR",XR,3808,PRIMARY,3117,21,-0.16171229333183695,-0.34150034677367425,0.17067693294834776,-0.19225164037863396,-0.12935820278216376,-0.16883050081148349,-0.16315963734472103,0.006737247353224254
H01,"H01|V=10;N=25;T=60|XR",XR,3808,NOINS,3117,21,-0.16238013653215022,-0.34330428510654787,0.17099775425088226,-0.19336408495497012,-0.12964878249045875,-0.1694989873805803,-0.16356843635306892,0.006737247353224254
