hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H01,"H01|V=10;N=25;T=60|XT60",XT60,2642,KILL,2615,21,-0.22831356722483842,-0.459464414705736,0.17934990439770554,-0.2693459578388898,-0.183027055073231,-0.236103850418835,-0.2283253384366283,0.0076481835564053535
H01,"H01|V=10;N=25;T=60|XT60",XT60,2642,PRIMARY,2234,21,-0.2380354498941542,-0.3810653786511713,0.15443151298119964,-0.2636519296628627,-0.20898712619497126,-0.2454943244078456,-0.24208710498941557,0.0026857654431512983
H01,"H01|V=10;N=25;T=60|XT60",XT60,2642,NOINS,2234,21,-0.23962700620837002,-0.3827267356338605,0.15353625783348254,-0.2652277821229437,-0.21058873644029782,-0.24708802085684417,-0.24365414521303103,0.0026857654431512983
H01,"H01|V=10;N=25;T=60|XT60",XT60,2642,L10,2130,21,-0.17139663303974234,-0.21169045511445594,0.13380281690140844,-0.18654361622582835,-0.1535520263217632,-0.17852698396233765,-0.18745009774435856,0.0014084507042253522
H01,"H01|V=10;N=25;T=60|XT300",XT300,2642,KILL,2615,21,-0.3278607904843118,-0.4789685985771852,0.07724665391969407,-0.36274858183827097,-0.28744843445480206,-0.3360822421847815,-0.32786857965798266,0.01644359464627151
H01,"H01|V=10;N=25;T=60|XT300",XT300,2642,PRIMARY,2234,21,-0.3261270256405227,-0.44928217212949606,0.06445837063563116,-0.3464964197364006,-0.3038044307833568,-0.3367311174682885,-0.33426821913919225,0.009400179051029543
H01,"H01|V=10;N=25;T=60|XT300",XT300,2642,NOINS,2234,21,-0.32730684716650366,-0.4504245865108513,0.06401074306177261,-0.3476897239484285,-0.30494980165167074,-0.33791252543603884,-0.33540242494459477,0.009400179051029543
H01,"H01|V=10;N=25;T=60|XT300",XT300,2642,L10,2130,21,-0.23652286829173758,-0.3042304314763252,0.0647887323943662,-0.253165451849569,-0.22053572523688683,-0.24932068663407297,-0.2657692521189481,0.004694835680751174
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,2642,KILL,2615,21,-0.38448341538121616,-0.486127744888314,0.030210325047801148,-0.4173578555777969,-0.34637378388350537,-0.3927949934662083,-0.38448515984463477,0.01988527724665392
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,2642,PRIMARY,2234,21,-0.3718970343999097,-0.4679963381740052,0.023724261414503133,-0.39200995800906446,-0.35039497264350083,-0.3825629556288089,-0.3830077007180606,0.012533572068039392
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,2642,NOINS,2234,21,-0.3729723128031667,-0.46895964584818295,0.023724261414503133,-0.39308462450541565,-0.3514417396638794,-0.38363967989590164,-0.3840300395645217,0.012533572068039392
H01,"H01|V=10;N=25;T=60|XT1800",XT1800,2642,L10,2130,21,-0.2815341056492759,-0.3552602615557324,0.019248826291079813,-0.30448177528960263,-0.2614619671925289,-0.29452425495318985,-0.31706166672514463,0.007042253521126761
H01,"H01|V=10;N=25;T=60|XB",XB,2642,KILL,2615,21,-0.13996041134968923,-0.3141982886423561,0.2237093690248566,-0.15715362097052152,-0.120800416995618,-0.14171123077753592,-0.13995556523823516,0.001147227533460803
H01,"H01|V=10;N=25;T=60|XB",XB,2642,PRIMARY,2234,21,-0.19353086210135295,-0.3361328982985328,0.18039391226499552,-0.2157625222415596,-0.1697008373771975,-0.19670010117886685,-0.19777369003860115,0.0004476275738585497
H01,"H01|V=10;N=25;T=60|XB",XB,2642,NOINS,2234,21,-0.19580340085392586,-0.33696362321656514,0.17905102954341987,-0.21862536341603883,-0.1711676188251598,-0.19896723680784115,-0.20011547882228176,0.0004476275738585497
H01,"H01|V=10;N=25;T=60|XB",XB,2642,L10,2130,21,-0.16601939125705556,-0.25189513963678517,0.13286384976525822,-0.17949569153156078,-0.14975194211122045,-0.1695472926069394,-0.18202508432154998,0.0009389671361502347
H01,"H01|V=10;N=25;T=60|XR",XR,2642,KILL,2615,21,-0.1300881362887381,-0.2931450873090891,0.17552581261950287,-0.15469426845895462,-0.10428895542166343,-0.1380321597033162,-0.13008526720661226,0.010707456978967494
H01,"H01|V=10;N=25;T=60|XR",XR,2642,PRIMARY,2234,21,-0.24796939016459482,-0.35803137082561254,0.10429722470904208,-0.2655651261913308,-0.23237892152056094,-0.2580208780095594,-0.25332239533420564,0.006714413607878245
H01,"H01|V=10;N=25;T=60|XR",XR,2642,NOINS,2234,21,-0.24974280551273628,-0.359946123070656,0.10429722470904208,-0.2672662408824119,-0.23414469151641423,-0.25979667801338874,-0.2550245522615386,0.006714413607878245
H01,"H01|V=10;N=25;T=60|XR",XR,2642,L10,2130,21,-0.21348355797976998,-0.2611676069240968,0.07605633802816901,-0.2281521061675091,-0.1988244816659322,-0.22458473690389916,-0.2369860367483872,0.004694835680751174
H01,"H01|V=10;N=25;T=60|XG",XG,2642,KILL,2615,21,-0.2337507519590478,-0.3193303915228098,0.023709369024856597,-0.26631793154530825,-0.19727185510389797,-0.24155391677262877,-0.2337432731857356,0.0007648183556405354
H01,"H01|V=10;N=25;T=60|XG",XG,2642,PRIMARY,2234,21,-0.2947090060127779,-0.35878446237069783,0.026410026857654433,-0.3124336335174236,-0.2772499146811826,-0.30490888691619294,-0.2997757482168354,0.0026857654431512983
H01,"H01|V=10;N=25;T=60|XG",XG,2642,NOINS,2234,21,-0.2952545373649843,-0.3598584267294213,0.02730528200537153,-0.3129660754705513,-0.27761249352454864,-0.3054548000021178,-0.3002303605965107,0.0026857654431512983
H01,"H01|V=10;N=25;T=60|XG",XG,2642,L10,2130,21,-0.24624488094367497,-0.294218957171565,0.027699530516431925,-0.2625208282940326,-0.23152372648237282,-0.2582483565479522,-0.2718912281508198,0.0028169014084507044
H01,"H01|V=10;N=25;T=300|XT60",XT60,2890,KILL,2863,21,-0.2100841791364016,-0.45242338192129744,0.19874257771568285,-0.25117497620666535,-0.16623948937855137,-0.21717981953446183,-0.2100920996562799,0.009081383164512749
H01,"H01|V=10;N=25;T=300|XT60",XT60,2890,PRIMARY,2460,21,-0.2204956213505425,-0.36337568755795224,0.17317073170731706,-0.24580279851001502,-0.19332954243287162,-0.2272469968305649,-0.22345325666113985,0.002845528455284553
H01,"H01|V=10;N=25;T=300|XT60",XT60,2890,NOINS,2460,21,-0.22224337524059265,-0.36469665289553155,0.17235772357723578,-0.24754492571527664,-0.1951122960371907,-0.22899688471875343,-0.22518425805034503,0.002845528455284553
H01,"H01|V=10;N=25;T=300|XT60",XT60,2890,L10,2342,21,-0.1612684158585572,-0.19713554530300503,0.1515798462852263,-0.1776698669155309,-0.14329553713846113,-0.16773950254552472,-0.17416365846767504,0.0012809564474807857
H01,"H01|V=10;N=25;T=300|XT300",XT300,2890,KILL,2863,21,-0.305030318073253,-0.4768542361076563,0.09395738735592037,-0.3424374323600964,-0.2610020817911672,-0.312514912627236,-0.3050386180401405,0.018162766329025498
H01,"H01|V=10;N=25;T=300|XT300",XT300,2890,PRIMARY,2460,21,-0.30288817431415815,-0.4472266350835621,0.08333333333333333,-0.3263206719056173,-0.27622051381451357,-0.31248850492619207,-0.3095274382819265,0.00975609756097561
H01,"H01|V=10;N=25;T=300|XT300",XT300,2890,NOINS,2460,21,-0.3041663923616222,-0.4482384895326602,0.08292682926829269,-0.3276004017447452,-0.27747776119429174,-0.3137682836334656,-0.31076388587058007,0.00975609756097561
H01,"H01|V=10;N=25;T=300|XT300",XT300,2890,L10,2342,21,-0.21963629604374954,-0.2989344533799171,0.08155422715627669,-0.23767442530487937,-0.1996835020831884,-0.23302713273874803,-0.24596099696219956,0.005123825789923143
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,2890,KILL,2863,21,-0.3631691017007774,-0.4838424854484851,0.03981837233670975,-0.3988471891247776,-0.32246486966023336,-0.3707617049762615,-0.3631744017766197,0.023052741879147746
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,2890,PRIMARY,2460,21,-0.3500954986639999,-0.4662103548196191,0.034552845528455285,-0.375031463133772,-0.3244946947521337,-0.35975372644359654,-0.359541415408166,0.014634146341463415
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,2890,NOINS,2460,21,-0.35120853746089875,-0.4674989969214869,0.034552845528455285,-0.37616143974038063,-0.3255919251266944,-0.36086812421623554,-0.36060130054368716,0.014634146341463415
H01,"H01|V=10;N=25;T=300|XT1800",XT1800,2890,L10,2342,21,-0.2682836069248091,-0.36263286342552015,0.02860802732707088,-0.29376147852795853,-0.24318299907220223,-0.28173683863162596,-0.30135029543777087,0.008539709649871904
H01,"H01|V=10;N=25;T=300|XB",XB,2890,KILL,2863,21,-0.13298146746205866,-0.3140645042535197,0.2329724065665386,-0.15253437321491567,-0.11004919668732575,-0.1350070192721366,-0.13297489429883397,0.0024449877750611247
H01,"H01|V=10;N=25;T=300|XB",XB,2890,PRIMARY,2460,21,-0.1818219430687652,-0.3346523729423525,0.191869918699187,-0.20487563448115773,-0.15677212363026843,-0.18490420696791982,-0.18507705463294202,0.0008130081300813008
H01,"H01|V=10;N=25;T=300|XB",XB,2890,NOINS,2460,21,-0.18452852758496854,-0.336081455058015,0.1902439024390244,-0.20819321879626246,-0.15868968233715047,-0.1876062262339512,-0.1878708687697353,0.0008130081300813008
H01,"H01|V=10;N=25;T=300|XB",XB,2890,L10,2342,21,-0.16073782107083,-0.2524297588472929,0.14474807856532879,-0.17512412160543178,-0.14461557770726244,-0.1639391898013326,-0.1745140308799801,0.0008539709649871904
H01,"H01|V=10;N=25;T=300|XR",XR,2890,KILL,2863,21,-0.11751098577834754,-0.2925457041938212,0.1826755151938526,-0.14753548503111966,-0.0812874136899379,-0.12478013964877388,-0.11750868311135952,0.013971358714634998
H01,"H01|V=10;N=25;T=300|XR",XR,2890,PRIMARY,2460,21,-0.23247225960066328,-0.3581843934184904,0.11382113821138211,-0.25192186766743324,-0.21187005119329305,-0.2416758563455127,-0.23662151639133633,0.00853658536585366
H01,"H01|V=10;N=25;T=300|XR",XR,2890,NOINS,2460,21,-0.23426039423644374,-0.36022098838466055,0.11382113821138211,-0.25369208060079196,-0.21370812475719414,-0.24346617426761297,-0.23834129405485818,0.00853658536585366
H01,"H01|V=10;N=25;T=300|XR",XR,2890,L10,2342,21,-0.20026423900854928,-0.26353664431166945,0.08326216908625107,-0.21763277784668866,-0.18241606001690036,-0.21303342757294438,-0.2216328994596103,0.0064047822374039285
H01,"H01|V=10;N=25;T=300|XG",XG,2890,KILL,2863,21,-0.21958729397829257,-0.3196502562061589,0.030736989172196996,-0.25489035593849274,-0.17879174996581976,-0.22669896395001662,-0.21957855494620931,0.0027942717429269995
H01,"H01|V=10;N=25;T=300|XG",XG,2890,PRIMARY,2460,21,-0.28050825635322757,-0.3602277212309094,0.032520325203252036,-0.30113923817219673,-0.2588187640176505,-0.28975259174050483,-0.28477297890064457,0.0040650406504065045
H01,"H01|V=10;N=25;T=300|XG",XG,2890,NOINS,2460,21,-0.2811468362248275,-0.3614278857593162,0.03333333333333333,-0.30187976558961643,-0.2590271883767527,-0.29039163184551336,-0.28532652612834114,0.0040650406504065045
H01,"H01|V=10;N=25;T=300|XG",XG,2890,L10,2342,21,-0.2343591503490608,-0.3009626585089326,0.033731853116994025,-0.25376160384014523,-0.21537137594746933,-0.24717138809725997,-0.25845681803343773,0.004269854824935952
H01,"H01|V=10;N=60;T=60|XT60",XT60,7734,KILL,7634,21,-0.22021260129871145,-0.45263728272536313,0.2064448519779932,-0.2401454921240796,-0.19789653838664992,-0.22294507069216002,-0.22022384985806154,0.007335603877390621
H01,"H01|V=10;N=60;T=60|XT60",XT60,7734,PRIMARY,6546,21,-0.23705031305888472,-0.39353411687358586,0.18270699663916895,-0.2529252732781989,-0.2196014913903845,-0.24037305585280255,-0.24185458352006803,0.0030553009471432934
H01,"H01|V=10;N=60;T=60|XT60",XT60,7734,NOINS,6546,21,-0.23859594314064908,-0.39523794065635687,0.18179040635502597,-0.25446281157627887,-0.2211930843274813,-0.24191939461275094,-0.2433807649458716,0.0030553009471432934
H01,"H01|V=10;N=60;T=60|XT60",XT60,7734,L10,6226,21,-0.19162081272963788,-0.24505665056587883,0.15820751686476067,-0.19893524942870633,-0.18378186067575816,-0.1942030925680023,-0.209091047896034,0.0017667844522968198
H01,"H01|V=10;N=60;T=60|XT300",XT300,7734,KILL,7634,21,-0.35162668495801935,-0.48022498471247393,0.07676185485983757,-0.3673162815258947,-0.33478900392966826,-0.3544554572583666,-0.35163545514174316,0.01676709457689285
H01,"H01|V=10;N=60;T=60|XT300",XT300,7734,PRIMARY,6546,21,-0.355117719119443,-0.467563383864534,0.06446684998472349,-0.3667915469725123,-0.34121225301032904,-0.35902676039626796,-0.3641324775582768,0.008860372746715552
